nombre,artista,album,url
SKIN,elijah,SKIN,https://open.spotify.com/track/7dUWoZUPutWaCaOnSnKtsr
Good Enough,Isaac Butler,Good Enough,https://open.spotify.com/track/6MGkJmoHXdj6UtmacT6gUc
Good Enough,Lø Spirit,Good Enough,https://open.spotify.com/track/5jdO3mqM4kFFATE3CtrNG7
Bad Habits,Nerv,Bad Habits,https://open.spotify.com/track/4cHwYbwMyG4kn2wdUIVx43
Psycho,Point North,Prepare For Despair,https://open.spotify.com/track/7zVc101XOgfUwauxEJwbTl
Hangfire,Wind Walkers,What If I Break?,https://open.spotify.com/track/7vwUPOzwMuaBuhckNt3jjf
People Pleaser Anthem,Lø Spirit,People Pleaser Anthem,https://open.spotify.com/track/0R3EMO52kSuweRQtUluEs4
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox
River Flows In You,Yiruma,First Love (The Original & the Very First Recording),https://open.spotify.com/track/2agBDIr9MYDUducQPC1sFU
Heaven,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),https://open.spotify.com/track/7Ewz6bJ97vUqk5HdkvguFQ
To Build A Home,"The Cinematic Orchestra, Patrick Watson",Ma Fleur,https://open.spotify.com/track/3AqPL1n1wKc5DVFFnYuJhp
guilty,elijah,guilty,https://open.spotify.com/track/4XGpAI67faqTFX21Vu6VgK
6.0,Aimee Vant,6.0,https://open.spotify.com/track/4KNfXQ9dVH1w3HNF5uKFAf
Bleed,Connor Kauffman,Bleed,https://open.spotify.com/track/4k8D363TGNjILbQRciQfBD
fairy,Dvwn,panorama,https://open.spotify.com/track/5sTFCYwgx9kwi8dpYKaZYS
break me,elijah,fighting myself,https://open.spotify.com/track/5PiITSieTSQJNpuKxDCPxR
More Than Words,Extreme,Extreme II - Pornograffitti,https://open.spotify.com/track/1gVgkQFOKa8Wc1HYsJtPdH
harder to lie.,elijah,harder to lie.,https://open.spotify.com/track/45LJbBzB4myDfVRGVp69om
Overplayed,Thomas Day,Overplayed,https://open.spotify.com/track/650A0ErUKCd1d8Imckr7qV
Young Broke,Letdown.,Young Broke,https://open.spotify.com/track/2o7Blg0oGugaJr3UnJldOR
Broken,Anson Seabra,Songs I Wrote in My Bedroom,https://open.spotify.com/track/2AHKsVXN6BjBO8SEVX6cBC
never knew a heart could break itself - acoustic,Zach Hood,Whispering Pines (Deluxe),https://open.spotify.com/track/3zzpwhOH5jWCzeKmG7ZAQW
LET EM GO,Matt Hansen,LET EM GO,https://open.spotify.com/track/2RnBxdoRGOBzy2yvThWtMe
Where Do We Go from Here?,Caleb Hearn,Where Do We Go from Here?,https://open.spotify.com/track/0ntWxuqiNx7ShbLGzfmnOD
Ghost Boy,Prettyboi Floydd,Floydd's Purgatorio,https://open.spotify.com/track/7drAvKDxKDcJCR6iTu7QgZ
DEATH OF ME,Fordo,2001,https://open.spotify.com/track/0SAF19dUleOwtO7K5zM4hv
California Girl,Crash Adams,California Girl,https://open.spotify.com/track/4NSvVWoMswmJpMpSbgipYX
Chasing Shadows,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",https://open.spotify.com/track/3KLQCsKrZSResAeGxkx9n0
Can′t Slow Me Down,"MIRANI, lIlBOI, GroovyRoom, VALORANT",VALORANT / Can′t Slow Me Down,https://open.spotify.com/track/66wSpvsxSBGBBnHax8VB9S
EGO,"Qing Madi, VALORANT",EGO,https://open.spotify.com/track/4rDKyQvJiMmDbSqH5AbKxh
Row,Sail North,Row,https://open.spotify.com/track/6h2tpZFKzAB2V1hTurVsZB
break my heart,Matt Hansen,break my heart,https://open.spotify.com/track/4qQJIuWmMXbtMAy3pnBpso
Me & My Friends,"Munn, Jude Barclay, Fortune",Me & My Friends,https://open.spotify.com/track/3ZuODl7QqOQWVAOrLZJOsU
Dear Lover,Carter Ryan,Dear Lover,https://open.spotify.com/track/0EzYMsaNOZW6SFsw5X61wC
I Always Fall,"Eli Wilson, Promoting Sounds",I Always Fall,https://open.spotify.com/track/3c3yARsoiIiBSZW9rhYaI5
"always, i'll care",Jeremy Zucker,love is not dying,https://open.spotify.com/track/0rbKrBvZUYY9GN9l057BuY
Like Strangers Do,AJ Mitchell,Like Strangers Do,https://open.spotify.com/track/0Wc6cbF38a90b8wov9V63F
Maniac,Conan Gray,Kid Krow,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
drunk text,Henry Moodie,in all of my lonely nights,https://open.spotify.com/track/6EIMUjQ7Q8Zr2VtIUik4He
가끔 미치도록 네가 안고 싶어질 때가 있어,Autumn Vacation,가을방학,https://open.spotify.com/track/4m9Badp5xjHRXcPjsSPqHk
i think i wanna text u,vaultboy,vaultboy EP,https://open.spotify.com/track/4hH46xhExjwEGfuWFgnOc3
High Road,Ghost Ethos,Lonely World,https://open.spotify.com/track/5cqdSpm85JBu65hNNGF9a0
WE MADE PLANS & GOD LAUGHED,BEAUTY SCHOOL DROPOUT,WE MADE PLANS & GOD LAUGHED,https://open.spotify.com/track/76TSauYq7489EyCQoaQ30d
Galway Girl,Ed Sheeran,÷ (Deluxe),https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
Sunset Lover,Petit Biscuit,Presence,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
WHAT THE HELL,jxdn,WHEN THE MUSIC STOPS,https://open.spotify.com/track/3E3s4xXjmt43Bl1SIC3ij7
Missing You,Billi Royce,Missing You,https://open.spotify.com/track/0HYgtZsxhbZTwywSUTBwEc
once in a while,"GRAHAM, Henrik",Cedarcliff,https://open.spotify.com/track/5W3MMKpf1GYEznKR1B1BJJ
lead me on,sammy rash,lead me on,https://open.spotify.com/track/45HHTHXv7gQ5q2r89ui2Fy
Champagne For Two,Devin Kennedy,"You & Me, That's Enough",https://open.spotify.com/track/4A8CmAuQXTG037JTf525BL
Ghost Of You,5 Seconds of Summer,Youngblood (Deluxe),https://open.spotify.com/track/1MhXdlCQPnO56T57MfmaRm
Hotel California,Gitarreros,Spanische Gitarre: Die besten Lieder auf der Gitarre,https://open.spotify.com/track/3KIAVmx0tJA2MfTr8rxHO5
Hit the Road Jack,Gitarreros,Spanische Gitarre: Die besten Lieder auf der Gitarre,https://open.spotify.com/track/3vGBCU8P2UcIJ4iwc3wUPR
MONTAGEM KRUSH (SLOWED),xxxcharacter,MONTAGEM KRUSH (SLOWED),https://open.spotify.com/track/0CH8KhF6MBHKyNEiSqyVec
Voicemail,Aimee Vant,Voicemail,https://open.spotify.com/track/6gXLalUbAoAFF3sOeiagnO
I'm The One,Aimee Vant,I'm The One,https://open.spotify.com/track/6Oj8Uq4saTKBAB7aYlpkzk
Trash,Aimee Vant,Trash,https://open.spotify.com/track/3GPJhXXI9xDOHSKzEqbbyq
Against The Tide (The Captain's Tarantella),Sail North,Against The Tide (The Captain's Tarantella),https://open.spotify.com/track/1vuWlF2OWLtBqPNz0aoatB
Tale of The Shadow,Sail North,Tale of The Shadow,https://open.spotify.com/track/5nN3bMQo2HpOE3Vb7WvLWq
I NEVER COULD,Kiremi,I NEVER COULD,https://open.spotify.com/track/43Ir3RTdV8o7rcU5QKnUAm
yellowstone (holding you),Matt Hansen,yellowstone (holding you),https://open.spotify.com/track/6Njoyu4X5lMORCxImcam1K
Melodías De Guitarra Relajante,"Relajacion y Guitarra Acustica, Musica Relajante de Guitarra Principal, Musica Relajante de Guitarra Curacion",Música De Guitarra Reconfortante Para Aliviar El Estrés,https://open.spotify.com/track/3lFxxvhb7LA6NTehmVmkCA
Strangers To Lovers,Jdillon,Strangers To Lovers,https://open.spotify.com/track/7fvnth4kb62FbYQb5W6MJp
Strangers To Lovers,Jdillon,SERENITY,https://open.spotify.com/track/74AWhJuQZiqCxAvPWV1i6j
sweet decay 부패,Chasu,bury me instead,https://open.spotify.com/track/3hFQrbW6FUGYjfYG3Xsr1q
fairy,Dvwn,panorama,https://open.spotify.com/track/5UYiuOoh5HmccUCw1oV37s
希望の泉　（Source d'espoir）,Miharu Koshi,Madame Crooner,https://open.spotify.com/track/4CNEDC1YC4ghwfXJmMIFqa
treat your friends,MICO,treat your friends,https://open.spotify.com/track/0lyxM7QX5gEIn600SxaS7i
fall for you,Lio Kalebic,fall for you,https://open.spotify.com/track/52HfL5C4r4qvqWo0DfMuO6
Rescue,"GABE ISAAC, Jordan Jack",Rescue,https://open.spotify.com/track/1osSKszHVvydCr5Yz1iZbh
to the girls i never dated,ehren,to the girls i never dated,https://open.spotify.com/track/6hEa65kTf0RLC1Yqj5w72S
All This Time,Will Ryte,All This Time,https://open.spotify.com/track/3MGPsOIMnyeiYhejSUY8II
CRASH,Will Ryte,CRASH,https://open.spotify.com/track/4KYgfdEk64uUoDnvEFOmt4
World's Smallest Violin,AJR,OK ORCHESTRA,https://open.spotify.com/track/68EkhVWIeULhHxcbi1QhzK
Where's My Love - Acoustic,SYML,Where's My Love,https://open.spotify.com/track/0ElpbbncWT9aS7mgoqEHbQ
Train Wreck,James Arthur,Back from the Edge,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
Selfish,Mackenzy Mackay,Selfish,https://open.spotify.com/track/4DqHSMYqhTxwIGDbyjP3tp
New Beginnings,NEFFEX,New Beginnings,https://open.spotify.com/track/4jnPyU5tLg90Hd06ZxjMzx
Echoes Of Love,Jesse & Joy,Echoes Of Love,https://open.spotify.com/track/4M3ILaJ7MnY8tPoD687ivv
All Your Friends,Connor Kauffman,All Your Friends,https://open.spotify.com/track/1LtwfsI51jNKnWjc4wrokq
Far Too Late,Connor Kauffman,Far Too Late,https://open.spotify.com/track/13ETFYEgswOWIa1oUxqNYh
Heartless,Connor Kauffman,Heartless,https://open.spotify.com/track/4XsFDiSa4yMLaIgjBVLaOs
Parasite,Connor Kauffman,Parasite,https://open.spotify.com/track/1ekqHUCGO5KFeO6nV0m0Fa
Echoes,Connor Kauffman,Echoes,https://open.spotify.com/track/1xN9RnDl0i6V5zvb2QdOlr
Bleed,Connor Kauffman,Bleed,https://open.spotify.com/track/33lQztwpMhDovy3A0zzAdU
Feed the Machine,Poor Man's Poison,Feed the Machine,https://open.spotify.com/track/40wmXUgVB0N5eLK8CuOhm3
Do U Love Me?,"Aimee Vant, gnash",Do U Love Me?,https://open.spotify.com/track/0rmdt3FHIUkkcbn10xgFHt
be somebody,elijah woods,look what i made,https://open.spotify.com/track/0fffrKFI0jjj3PWX31shfH
Keep You Mine,"NOTD, shy martin",Keep You Mine,https://open.spotify.com/track/0OJN2A3Qyvd7pwSF0AIteC
Before You Leave Me,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",https://open.spotify.com/track/792FHkvZbBQuWWM1a4TfL8
The Night We Met,Lord Huron,Strange Trails,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
You And Me,Lifehouse,Lifehouse,https://open.spotify.com/track/0815caqt2Lytro5EIzMufT
Drama King,Bellah Mae,Drama King,https://open.spotify.com/track/4dlGGvKNYl5uC9bwUZfrqa
Hell's Comin' with Me,Poor Man's Poison,Hell's Comin' with Me,https://open.spotify.com/track/5N0lmKQfQpXNQNjUGlPKIT
